GEOID,B01003_001_Population
420912003091,773
420912003093,822
420912006022,1665
420912006023,1234
420912016031,1049
420912012042,1037
420912012041,1157
420912014112,1686
420912016033,613
420912016035,1182
420912007042,942
420912009061,1908
420912014061,2146
420912031031,1086
420912031061,1426
420912038031,544
420912038035,1579
420912038034,1151
420912041021,3042
420912044001,715
420912044003,907
420912017051,1270
420912017053,1171
420912012031,1805
420912014092,1349
420912014091,3022
420912031051,2397
420912032052,665
420912024012,2003
420912024024,958
420912030001,1362
420912031052,1653
420912031062,677
420912032042,1135
420912032044,1943
420912032053,928
420912032082,1895
420912034013,1804
420912038033,688
420912038041,1797
420912040023,1730
420912040091,1897
420912058011,760
420912058012,2510
420912058083,2176
420912058091,931
420912060042,4635
420912060043,840
420912060062,2036
420912060072,3484
420912061024,3350
420912014081,1878
420912014082,963
420912015021,654
420912015022,1300
420912019013,1339
420912002001,1282
420912005052,2230
420912005053,3517
420912005061,1558
420912005062,2956
420912005071,1553
420912005072,2428
420912083021,3147
420912083022,1628
420912084001,1130
420912084002,2454
420912086011,2684
420912086012,3756
420912086042,2022
420912086043,2424
420912088022,1745
420912089042,911
420912091003,2126
420912092012,960
420912106002,1867
420912106003,1171
420912107001,3048
420912107002,2734
420912058092,759
420912061061,978
420912032031,1791
420912033021,1550
420912040022,674
420912041013,517
420912004022,1885
420912006031,1533
420912014041,848
420912014072,750
420912015011,1093
420912016084,1160
420912022013,1860
420912032072,1314
420912080001,1371
420912005024,577
420912008001,1296
420912087023,1030
420912101004,916
420912101005,715
420912043001,1439
420912052002,710
420912059061,634
420912035004,245
420912069041,1653
420912021002,1114
420912026042,1006
420912034023,2073
420912001053,757
420912016071,631
420912017041,1872
420912017063,2085
420912024025,1128
420912025003,1001
420912031043,1496
420912032032,1078
420912045002,1324
420912051001,1161
420912055024,922
420912056002,719
420912056004,1078
420912069011,756
420912071011,3431
420912049001,1194
420912050001,2594
420912105003,1184
420912105001,1022
420912003012,2429
420912026021,1565
420912026032,1524
420912034011,2575
420912036011,431
420912057005,1271
420912058051,1157
